FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
2401738,489865,12606,1909,0,332484,1968137,364748,6435,770,587,150031,96,285
1780505,273123,4994,581,0,185669,2310900,339782,2978,505,693,76643,89,286
3213887,498819,6991,1228,423,18384,2851706,485408,3756,554,840,8010,104,286
7515767,1324600,25282,2418,2009,136506,4516904,823809,8137,843,1016,58627,144,287
2892006,746777,14891,2033,0,817812,2778632,556204,7442,844,1679,365401,105,287
3286510,634260,8820,767,1296,17102,1992032,484243,4313,594,974,7266,133,287
5548729,1071735,16522,1840,1456,215201,3214710,688259,5843,635,1175,62051,127,288
1889606,138357,2401,633,571,677,2430820,173502,1829,359,502,728,71,289
3714943,700875,17011,1816,942,128527,2629308,610544,7310,653,727,63543,132,289
4622905,916832,17558,1829,1590,81338,3303320,942728,9252,1003,823,25818,107,289
1717887,361404,4420,420,767,28721,1915295,411454,2845,306,732,14006,94,290
7797450,1185774,37783,4080,1718,535361,3784002,718571,11836,1154,1812,134973,149,290
1774779,469813,7708,1450,1228,4525,1781432,440851,3924,613,652,1988,80,290
1675255,554382,10628,1114,930,85527,1943598,515869,5586,733,620,39352,87,290
1763047,282672,6001,683,179,94745,2096297,384720,4839,388,741,48124,80,290
5150868,611204,16747,1560,0,304874,5323969,701707,11065,1180,713,137477,97,290
3611039,541333,13130,1633,1422,115671,1936993,306410,4479,559,697,33593,125,290
2447777,444344,7992,1341,1455,2992,2848254,537883,5624,671,1106,1167,83,291
10461708,1812292,58708,2908,0,383970,5010874,960964,15937,1203,390,142479,180,291
3219158,287077,3200,671,276,3440,3810468,349764,2405,510,373,1651,87,291
5244240,508009,14966,1253,0,188029,2830328,303199,5353,699,875,67031,137,291
2175616,366886,9501,1205,574,322563,2611608,284532,4447,468,1660,174140,97,292
4982381,653281,31386,2898,0,395820,3941694,611423,15620,1370,561,132173,119,292
4846086,629066,14963,1484,0,624827,2613129,435054,4928,584,472,170768,131,292
7807723,1811497,29661,3568,567,625281,4584404,1207821,9197,1034,770,154235,137,292
2294603,533598,4221,1186,1142,3759,2917194,691832,3219,561,729,1816,79,292
9513825,2449045,33992,3768,546,252479,6564880,1778416,13271,1360,759,112890,138,292
3748231,513051,5896,1325,667,15521,2898783,445933,2865,466,288,6614,100,292
2695631,496898,5369,381,1541,3668,2446888,378814,1952,422,557,1548,103,293
14537052,3526127,148886,23988,20190,513246,5134298,1343004,45777,9980,13093,180308,224,294
2250354,356069,10904,1408,0,349129,2229829,325950,5726,563,474,163864,86,295
4353744,826227,7665,1137,574,14583,2544046,601133,2913,376,289,4784,141,295
8649299,1729676,35224,4016,0,726919,4661609,834225,12236,1364,798,221643,154,295
8598820,1088664,15112,2123,2360,33989,5940621,602723,5410,722,1243,10836,158,295
13379564,2749230,58652,5751,0,1170168,5411455,1228460,16543,1639,558,318679,181,297
3127387,515808,13806,1337,1148,93663,2443717,443306,6832,701,1124,35601,101,297
6810575,1652809,12165,1817,2035,5536,4749463,992144,4259,627,837,2261,116,298
7985586,1808223,66866,6149,2337,369695,6546444,1590641,28478,2098,2310,129925,125,298
2366893,364230,9474,1079,0,377360,2764244,436911,5698,629,973,154423,74,298
1806074,209748,3071,767,880,31323,2471574,262483,2721,361,825,15528,79,302
2083007,561415,7881,1249,1153,88075,1983236,626628,4436,632,551,46558,95,302
1603318,298345,2982,896,1099,1475,1946662,300571,1605,311,535,932,94,302
1586662,232909,5863,1337,0,382436,1557900,250367,3609,502,523,173417,75,302
1754103,302199,3054,1125,1677,2878,2130562,353765,2687,433,624,1322,78,302
1951552,115296,976,722,443,3908,2481364,174423,798,302,473,1912,83,303
1652365,236284,4535,642,1181,11238,1609106,256161,2299,395,558,4519,94,304
2352385,188450,2692,1067,952,2012,2868552,245603,2182,525,424,1419,72,305
2600518,408129,3678,793,686,616,3254458,519824,2585,517,678,941,85,305
