FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
1957321,497199,10655,1244,301,1977,2425839,610838,7848,810,513,1261,97,323
1627964,301249,3941,298,965,10592,2018832,411082,2275,166,467,5092,86,325
3127870,790202,16585,1434,1637,49843,2885271,709164,8178,658,1153,23324,95,325
3698009,909744,12427,1086,1028,26460,3501935,754645,5611,597,568,10130,105,325
3246763,1093833,15832,2013,839,19802,2815302,927245,8097,774,1076,7131,101,325
4220204,1177840,12930,1263,1909,5900,4435866,1224703,7555,752,1587,3138,86,327
8002450,1869712,418344,27982,0,4527331,3953131,931839,109581,7043,2945,1121564,183,330
3310166,500819,6637,620,1121,23341,2357905,442460,2995,392,778,10292,107,331
6714160,1814274,132207,8544,898,479308,2645958,646181,74735,4634,1078,212920,219,331
11577749,3786661,175437,16678,10943,105204,4195613,1618307,54886,5279,3504,17407,189,333
2824215,458510,16624,1862,1705,29332,3370861,507880,10972,1148,1608,13601,76,335
4332128,651395,14096,1977,0,578843,3736016,444941,4960,560,636,273326,113,337
10181847,1854223,27042,3433,1796,18265,6074504,1257346,8072,928,896,5730,135,338
13436903,2178655,45226,4605,1662,101826,4686545,944220,11100,1053,1025,35386,196,338
2559533,585606,11217,1153,166,28764,2447201,668131,6913,646,178,14937,75,338
7039331,1861920,24976,2534,1400,25004,5179291,1444447,8265,964,889,9423,137,338
1894397,280665,7462,754,1030,3901,2504734,333794,4655,499,652,2293,72,342
1848808,103361,1968,326,0,1179,2604402,140271,1504,258,189,884,69,342
1568273,295164,2488,552,420,3436,2247598,377709,1520,274,243,1777,67,346
1933239,215560,3513,765,687,1438,2796128,289784,2977,538,523,712,68,349
2093867,160524,3278,156,834,6499,2846852,203077,3013,205,1006,3569,82,350
3867948,456153,9518,1072,632,9189,3706785,413934,4802,577,715,4003,123,352
3278989,410765,17359,1658,0,301012,2275128,286694,8325,706,391,139912,95,353
1818877,124578,1260,268,167,2324,2665286,171722,1211,123,536,1400,63,354
2064866,707085,5623,1452,1033,4903,2429903,604514,3457,467,329,2258,178,354
7282752,2157083,33574,3600,2385,44279,5079639,1517879,9849,951,1152,12323,139,355
1705597,196082,5170,483,655,3156,1926430,254437,2901,343,1016,1786,77,360
9611729,3067719,57677,5183,2618,242426,4947209,1675390,19401,1844,1071,71641,144,362
7263322,1253959,31036,3336,0,513617,6333097,1215704,15063,1297,572,208893,122,362
3790006,724732,8177,971,836,17941,4408077,911694,5218,631,461,9951,65,362
3817599,390133,11204,1291,0,167641,5520867,520539,8070,890,827,72265,92,364
6164698,1629833,58205,5521,1400,679049,4104091,1409342,29277,2401,2765,229232,112,364
5199320,1088633,30092,3143,668,88215,3462280,594437,8518,936,501,25260,135,364
3272028,537602,10140,1188,585,13040,3614359,587349,6521,517,486,6729,80,369
5749622,1253108,11974,1132,568,17502,4327687,1204720,6358,634,479,6333,118,371
2041872,484960,11229,1530,133,83329,1879970,394289,5836,644,664,46782,115,375
2480553,297250,3992,757,976,2248,3139058,346847,2495,354,753,954,95,381
3717268,583868,14116,1661,633,82002,2599640,538262,6202,753,798,31892,105,382
1957310,270315,3148,603,668,1804,2743383,310796,2241,418,360,864,83,385
2683028,309181,4685,532,0,21375,2726596,312023,2495,286,83,6077,97,386
6101867,1359413,63757,4730,0,605083,3177090,883589,30211,2198,443,241986,152,386
9847495,1956698,201193,14371,0,904436,5027795,1039523,139243,9190,1221,324055,134,387
2223200,341008,2946,365,432,2034,2238612,340247,1714,231,432,894,85,388
3248812,409512,3855,713,732,3911,2932802,460659,2086,308,838,1795,85,388
1665568,177201,2049,232,583,2228,2443730,239998,1854,181,886,1169,74,390
2695950,541608,8584,700,1031,23177,2370745,418754,4420,499,486,9683,101,390
9909525,2843257,379313,25664,0,3200145,4305052,1175183,142059,8932,1187,1014884,186,390
8732099,2654163,42066,4201,1419,586301,5824894,2263907,16515,1711,1711,284921,134,390
1971317,456079,5409,771,796,3340,2679391,508808,3813,562,504,1786,99,392
1817303,272189,4517,610,435,7824,2265326,371896,3214,391,264,4443,76,394
5107815,1378102,26753,3542,2122,24251,2758425,852487,10515,1096,895,8877,151,394
3043629,631450,8339,1095,57,24358,3200037,644710,4778,551,286,10214,119,394
7244333,1203042,142414,8972,0,892416,3759970,721254,84986,5044,946,417220,154,395
1925849,311468,8088,871,1383,13701,2146966,373993,4908,423,897,6915,71,396
8265889,1256143,31398,2984,2598,23033,7108495,1044547,14815,1378,965,8797,119,398
1677279,241804,1678,882,483,2888,2478915,341897,1498,419,240,1712,73,398
2318524,403780,13396,1202,702,12130,2549027,519954,8612,716,364,6730,79,403
1707706,229340,2898,504,674,1987,2068261,275661,2192,314,393,1456,75,403
3560965,1292256,31688,3465,1239,45027,2228864,920912,9422,1186,783,13865,128,403
1922138,407647,7469,1550,859,60482,2262409,349969,3627,620,387,26332,95,406
2676068,557628,9196,1266,280,18843,3149826,627093,5455,770,366,8397,84,407
1877770,267373,7215,790,1302,23924,2373787,320213,4549,673,713,11275,76,408
6429588,1370670,168315,11524,0,1526333,6214877,1004095,125741,8281,728,672005,124,408
3002343,415448,15722,1643,824,10624,2412003,376850,6414,571,437,4024,106,412
13365628,2485657,60233,5177,476,140865,5811273,1048085,15282,1337,566,51718,185,412
1999939,404096,1941,114,151,4871,2382669,373837,1258,145,514,2254,80,412
3565599,855919,14909,1926,555,14466,2011208,554405,5961,671,430,4551,117,412
3001424,559057,7992,1544,1017,3332,3132043,564539,3726,660,596,1338,85,416
9845520,3772675,425028,29895,0,1911761,4598275,1651104,233816,15006,2265,660219,190,416
2343295,405915,35546,2689,867,91134,2290078,498317,26486,1731,1034,43934,87,417
3392730,436270,10547,1074,1190,5099,2865905,383154,5217,626,465,2178,107,417
1496024,281425,2348,259,282,1033,2224510,399890,1578,162,392,730,74,417
3371034,437800,10159,1426,317,1837,2860945,390997,5170,622,354,825,93,418
1650316,338247,6613,779,802,2797,1622002,411900,4164,450,465,1037,89,422
2515095,266116,109064,7147,0,724191,2725879,320242,79730,5310,119,374042,89,423
9997679,1874132,418122,27858,0,4894883,6064096,1043447,157256,10939,2106,1528079,134,424
1764101,280226,2225,456,624,5466,2825343,366075,1943,289,446,3784,75,427
9546076,3132121,300508,21670,1406,400613,3954959,1254486,104094,6745,1494,132694,195,428
7565101,1977032,30895,2869,2697,11758,4879595,1428336,10442,996,1162,3884,164,428
2433342,279466,1939,488,807,2487,3742400,347120,1232,254,508,1578,67,428
1989601,404961,4964,539,1171,6676,2280541,528398,3058,291,544,3754,77,429
4714874,1028488,22341,2225,1048,83162,4602346,992918,12403,1208,931,34293,98,429
3513094,465928,84964,6110,0,2155630,4275160,538911,68582,4806,2217,1074797,69,429
12444414,2565347,50482,5633,404,384865,4203441,942882,9686,1077,883,102346,209,430
1819181,219487,7653,719,645,71749,2370746,274819,5795,580,574,40050,66,431
6152720,1277274,36310,3349,1950,63659,4582270,973127,14369,1433,854,18196,115,437
2605170,459103,2622,342,1034,1407,3656234,613145,1798,405,923,633,82,441
12065698,3841487,51596,4716,3744,85393,6642443,1667942,15912,1466,1360,23278,153,444
5044102,653170,25197,2323,0,694761,3263327,418264,9408,845,375,232578,116,446
1467070,304398,9841,1379,927,40799,1597618,331028,6052,569,812,18603,78,446
4324873,562186,12473,1362,304,292142,2523662,357241,4302,440,625,134074,125,447
2057799,263474,3940,271,789,1486,2431548,332511,2847,316,403,674,76,447
2417240,560550,9728,1060,564,12943,3182504,642410,7410,621,348,5608,70,450
1889851,443133,15623,1408,0,176470,1931394,435705,7766,638,1215,80558,96,450
2071576,381695,8984,687,0,225754,2121445,389852,3866,433,609,129790,89,450
4313033,1046683,17712,1993,1572,8821,3087643,651356,7727,670,1088,3066,124,454
3180896,741183,234952,15406,0,1636192,3632870,838558,189260,12390,1693,647096,103,454
4240405,567019,10568,1311,1034,6237,3378565,486988,6624,669,482,2631,99,454
2464821,424051,2033,275,1093,1282,2168914,426998,777,185,437,699,138,456
1890867,206181,5937,636,567,3154,2660409,259925,4327,315,625,1987,74,458
5167802,652392,17413,1949,0,1114694,4816692,476158,6580,769,1045,494831,130,459
3793987,439297,13291,1510,1346,109345,4247804,406230,6968,674,1556,50331,95,462
1840428,290083,8296,604,27,3796,1604362,295396,4298,517,153,1722,86,465
2566809,519768,5254,510,707,8451,3265191,641174,3383,305,519,3383,85,468
3788034,790201,15778,1199,1424,33402,2673833,596033,5434,495,838,9993,116,468
3188395,508351,71240,5458,0,901978,2665926,395851,43949,3126,1200,458443,103,468
1777797,173228,4339,529,661,12497,2333922,224346,3320,384,202,6018,74,468
11934442,3190932,197362,15184,0,711734,5424472,1682185,135490,8569,834,277260,212,470
1616376,446624,1773,454,535,2757,2116004,597919,1624,198,279,1581,80,470
2080625,244196,2568,432,122,3911,2897506,350313,2230,246,225,2130,75,479
1874451,403910,10951,1632,1428,32450,1523674,360773,6325,646,660,13638,96,482
2137711,148273,4327,770,295,11244,2877967,187392,3797,500,550,6218,79,485
6796528,1492386,23034,3651,2932,52603,4419008,761147,8728,1246,1305,20950,166,487
9625455,1641004,304359,20508,0,5787885,5300666,720857,181866,11563,9180,1752986,186,492
14191595,3228324,218141,14908,0,919545,6462902,1490787,117651,7622,1563,236219,238,492
1989377,401435,1505,271,583,41,2743974,486093,951,201,320,453,73,492
1518834,276580,4224,427,874,5290,1802565,358751,2931,339,518,2806,78,493
8339731,1677800,30599,2828,3138,32094,3171520,751997,7377,822,1017,6965,169,493
1768050,245008,1223,329,0,560,2046615,288726,980,240,198,752,73,493
2077865,237344,12855,1098,538,4288,2355119,270911,9523,674,391,1985,74,493
6247517,1590508,22517,2088,1800,42797,4019189,1146293,9963,852,652,18106,147,493
2084680,159926,3021,931,912,0,984204,66502,601,220,906,470,218,493
2598244,306050,9194,850,992,64068,3234727,366502,6251,691,515,32887,72,495
4141646,1445607,15306,1859,1059,14745,3336037,1089570,7190,931,611,5705,112,495
1957207,204371,5654,246,513,39735,2306456,234376,3915,306,503,14848,83,495
3441050,305345,7325,459,0,194455,2648170,238912,3791,375,357,98709,101,495
3293100,897474,15997,1632,1099,58340,2776035,592252,8607,757,721,22042,98,496
12875925,4596380,67291,12171,16222,15060,6329510,2729692,20860,3980,6201,4822,146,497
2285316,404784,7620,808,937,17979,2324201,298764,2937,335,512,7310,90,497
5270989,1451625,23034,3458,5553,28851,3369336,788330,10577,2148,4713,10495,122,497
3623136,529448,13253,1140,0,169261,2791282,376315,4726,553,166,71696,103,497
2757567,333697,6225,919,693,16517,3464239,384086,4310,525,587,8450,89,497
2230112,238378,4401,181,933,10715,2692009,323828,3036,246,655,5535,93,498
1989974,183917,3903,779,967,7422,2689140,237188,2615,381,706,3090,67,498
2480986,160700,2575,348,285,5591,3058327,196645,2124,221,174,3963,69,498
14313027,3595946,543770,35490,0,4054321,7728810,2110905,185101,11808,1434,915002,188,498
1569251,246062,10326,1098,164,43611,1612394,243196,4811,611,99,20436,84,499
3110500,400772,10643,1047,139,7369,3790685,366895,5133,559,180,3387,84,499
4801679,751451,213125,14152,0,1080042,3136695,576667,157906,10182,1126,472161,106,499
3065931,1031235,192140,12770,0,2194378,2066299,733545,122303,7807,156,724194,157,499
2987095,485826,5561,880,405,13878,2940992,397532,3272,471,576,7329,101,499
1741655,267069,3059,709,545,1090,1805871,253918,1668,452,415,897,92,500
2346041,611967,2495,394,138,5111,2408363,577413,1200,226,335,2244,108,500
5594094,1812149,19509,2881,1234,81490,3184209,991938,6232,763,697,26496,138,500
3648464,647021,7791,1642,1090,9059,3005400,485699,3308,588,638,3962,103,500
2347413,445917,7555,1304,854,3714,2854331,433912,4523,683,575,2008,84,500
5982039,1181131,141524,8625,0,474487,2167777,532209,86783,4940,1352,171828,187,500
1872576,505690,7968,998,263,11284,1825369,481252,4677,495,440,6396,78,501
5948631,949615,20326,3098,0,500392,4350005,588765,8006,986,1590,211274,142,501
3731708,871707,5869,1243,1242,12478,4416901,1112721,3847,626,1204,7405,67,501
4819563,571605,11809,864,198,4432,3723547,419054,4004,416,388,1699,108,501
5737500,1141092,28079,2750,1289,36891,5582682,749749,10785,1157,565,13871,103,501
2665408,228511,2102,55,1249,3615,4066805,311156,2155,188,619,2145,81,501
6501093,2657414,27299,10836,24394,30559,3897486,1486631,9202,3550,8700,8560,129,502
2641021,268995,1836,501,160,2845,2428579,227165,872,272,187,1771,88,502
2650985,695081,9527,503,1387,5569,2608751,635478,4719,469,627,2539,107,502
4029700,977839,125071,8659,0,1644700,2118610,458081,86022,5453,1717,627806,146,503
4290157,682879,15730,1148,840,16394,2262303,347899,4380,388,486,5830,137,503
2786984,256051,8201,1399,1259,15947,3311682,311113,5588,764,889,7586,79,503
2117345,399786,10234,1378,1374,7824,2194989,356568,5752,682,688,3894,87,503
1593349,417470,2791,1111,890,1561,1542771,420509,1507,357,504,956,93,503
1688105,366437,3864,796,560,1610,2186550,464130,3010,669,689,1159,70,503
3402185,628734,227841,13883,0,598219,3007456,617426,160409,10019,1951,221160,88,504
2479949,671012,9394,987,1080,10861,2069748,580253,5156,514,815,3711,106,504
6021056,799165,30752,2647,610,33998,3497318,505730,11503,843,460,15710,131,504
4921823,1243993,170669,10759,0,2229820,2927946,632588,94282,5915,896,1021130,146,504
3560411,605277,13107,1366,552,19847,2503243,430449,5364,521,632,8625,115,504
2470858,364216,9692,829,1011,9255,2208390,371244,5365,467,648,4618,90,505
4148626,1202361,8748,1119,1528,3680,3123384,815510,3430,425,880,1505,142,505
7893175,2497142,33499,3985,2566,47071,6350588,1724884,12011,1358,1151,12187,143,505
2808273,739830,8524,1317,0,15247,3033448,749167,4023,502,273,5590,94,505
1798536,347900,7475,854,683,5363,2167308,428759,5298,534,370,3949,59,505
3881284,1522934,30985,3390,1406,87435,2392705,937515,10102,1267,1091,27418,119,505
4081853,1238070,11776,1193,1017,8752,3746422,1236399,7189,746,685,3950,95,505
14412842,3304868,57587,5818,2650,25577,6153381,1374016,11346,1379,711,6556,216,505
2245129,292258,6093,977,0,4392,2446773,334359,3397,438,12,2330,82,506
1571918,469565,4862,924,332,2732,2351519,579291,3239,466,233,1426,72,506
3979838,893083,24971,2818,2584,37497,4071507,867807,13216,1247,1234,21558,78,506
2493102,438270,5477,831,393,7540,3042761,494827,3689,620,571,3690,75,506
2406738,414649,157561,11045,0,723455,2502268,422954,110545,7536,711,326248,86,506
5820403,1187952,335107,21526,6317,5098245,4007327,848205,217090,12675,10855,2068225,107,507
8014984,2611804,36584,4160,254,85814,4611900,1139879,11950,1074,641,20937,184,507
3557942,785065,14633,1637,1134,10518,2177559,644408,5525,667,396,3680,108,507
2907713,820701,11400,993,1913,17829,2922180,989750,6640,475,756,7651,94,507
6963570,1603846,24157,1803,2313,7968,4416929,1167329,10767,751,1039,2253,157,507
1609659,219146,12879,1064,370,52332,1919492,251075,8614,598,548,23009,83,507
1619443,271179,12362,2821,4756,20,1085591,149332,3698,953,1933,423,128,507
2075457,259131,3029,1067,371,1241,1932698,247537,1798,409,461,1343,97,508
10304746,2911156,191147,13745,0,1113656,5969879,1621607,102802,6750,1403,403996,183,508
5300724,941941,16872,1370,1280,45029,3476902,561938,5681,546,808,15329,116,508
3317098,385492,14422,1817,1512,18195,3272143,269640,5021,655,791,6965,106,508
1783032,401890,11509,1893,842,47032,1588430,330039,5552,784,637,17171,95,508
2691416,282642,9032,1119,807,139033,2627578,271070,6194,695,533,59829,84,508
4151735,1162967,11085,1562,1662,38345,3582175,1178788,5638,802,877,16619,98,508
7454198,1307160,33823,3073,1092,88706,4435974,991577,10960,1197,902,27146,146,508
3833973,302753,5489,626,1020,3281,5143917,350391,3214,498,567,1606,81,508
7393639,2396984,34530,3912,2628,51297,3878461,1374498,11282,1325,1088,17466,139,509
11073669,2232272,36730,3433,1223,361112,4662508,1066198,9870,807,676,143718,176,509
2259605,651164,202120,11827,0,666884,1215544,365960,60010,3278,831,156667,139,509
2271630,186891,123549,7907,0,715361,2524815,235230,79198,4962,1653,310358,85,509
2232902,449487,7696,905,1053,9489,2167315,391959,4009,352,498,4912,92,509
7598830,1061777,19353,1600,1599,12235,3622252,519550,5108,476,486,3622,166,510
3363311,952182,11982,2155,0,847390,2703796,774166,5474,764,535,327413,144,510
1925804,245015,72896,5016,0,417924,2193992,285937,49136,3272,1349,191584,71,510
3848673,1052104,11841,1282,1665,3001,3054063,794768,5507,591,1099,1428,107,510
3968753,526204,135518,8083,0,799169,4039084,535630,81752,4782,628,387584,90,510
2019932,156962,9089,1009,1402,10311,2176980,180812,6155,529,826,4843,82,510
5589859,1177260,156932,10189,0,1434367,5092214,1030976,96609,6041,1196,544604,98,510
1458201,321493,3713,789,715,1180,1787241,430826,2385,541,511,926,70,510
3087889,618046,12490,1500,1686,10777,2381258,415128,5776,616,703,4337,113,511
11956553,3051434,65148,5476,3461,220563,5223918,1616407,18323,1709,1433,56560,160,511
3907758,711161,243281,17989,0,2554762,2913377,456574,153438,10654,589,677109,132,511
7123433,2160058,22460,1920,3106,15326,5055722,1417245,8218,992,971,4699,145,511
1937239,253446,1870,252,157,996,2323243,326383,1305,175,185,1296,81,511
2931201,418867,95922,6387,0,713278,2404590,436067,65934,4328,238,299284,105,511
7363974,1369483,49632,3504,1818,190161,4817457,953638,27971,1911,1609,84920,126,511
1945154,418439,19631,896,879,69128,1955927,293614,8266,550,835,31764,104,511
1946093,557828,4855,966,836,12142,1441768,469338,3095,436,381,4086,120,511
6356863,1629205,175599,11419,0,798399,3243196,783609,100821,5769,883,326390,154,511
11209633,2304833,44087,4452,1181,56074,5779991,1426425,12492,1226,923,18877,154,511
3570149,451490,8987,586,660,2889,2816575,384594,4066,381,504,1512,105,511
1773121,246505,4626,371,1278,5785,2008357,227191,2330,312,957,2801,88,511
3499344,645359,9557,1479,505,8868,2897030,605778,5330,663,747,4157,98,511
14760940,3260106,149541,11228,573,408417,4387307,1180459,49769,3344,1279,113353,264,511
3253236,279820,135438,5879,0,479405,1736889,192003,51720,2579,1325,186814,133,511
4646086,862274,20230,1916,1095,22790,3332449,699550,7474,655,626,7460,113,511
1605898,253263,7557,1034,267,11998,1702992,211976,3331,385,436,4718,92,512
1597097,283845,5229,549,429,4515,1764858,264699,2747,327,533,2591,77,512
2886117,541463,15393,655,0,1164430,2578566,500193,7658,544,1024,465126,106,512
6801586,1187406,261486,18795,0,4203993,4920699,856764,157605,10640,2134,1094464,138,512
12754662,3233046,199407,14699,632,728048,5558740,1186267,81146,6215,1348,249193,224,512
4150135,652428,145351,9999,0,625795,3274654,485284,74556,5063,942,303488,115,512
3929989,997344,16123,1707,733,8557,2980359,682939,6257,631,748,3212,125,512
4681985,888222,41646,3242,1137,95149,2649691,514234,24928,1907,611,33408,154,512
2191728,205192,6524,593,596,3946,2550871,240536,3982,341,230,2125,87,513
2420488,502781,9823,1003,1112,2439,1738356,421360,3468,411,455,1362,114,513
1705101,304971,3283,235,518,1118,1990470,347283,2121,204,353,726,89,513
5230449,1468669,27894,2718,149,36726,2840216,1006647,10654,1053,767,11304,202,513
5469948,2179265,28812,2590,1700,28816,3915162,1745341,11592,992,799,10296,145,513
2081293,301274,2847,0,373,3246,2344477,348107,1810,153,206,1542,82,513
1862837,558117,28484,2941,1093,17174,1514083,336383,13273,1302,367,6796,115,513
